TITLE = "HYDROGEOCHEM SUBFLOW PLOT"
VARIABLES = "X","Y","Satur","Poros","MoistCon"
ZONE T="       0", N=       82, E=       40, F=FEPOINT, ET=QUADRILATERAL, SOLUTIONTIME=  0.0000000E+00
  0.0000000E+00  3.5000000E+01  3.5326944E-01  4.5000000E-01  1.5897125E-01
  5.0000000E+01  3.5000000E+01  3.5326944E-01  4.5000000E-01  1.5897125E-01
  0.0000000E+00  4.0000000E+01  3.5334150E-01  4.5000000E-01  1.5900368E-01
  5.0000000E+01  4.0000000E+01  3.5334150E-01  4.5000000E-01  1.5900368E-01
  0.0000000E+00  4.5000000E+01  3.5333241E-01  4.5000000E-01  1.5899958E-01
  5.0000000E+01  4.5000000E+01  3.5333241E-01  4.5000000E-01  1.5899958E-01
  0.0000000E+00  5.0000000E+01  3.5333343E-01  4.5000000E-01  1.5900004E-01
  5.0000000E+01  5.0000000E+01  3.5333343E-01  4.5000000E-01  1.5900004E-01
  0.0000000E+00  5.5000000E+01  3.5333332E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  5.5000000E+01  3.5333332E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  6.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  6.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  6.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  6.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  7.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  7.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  7.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  7.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  8.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  8.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  8.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  8.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  9.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  9.0000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  9.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  9.5000000E+01  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.0000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.0000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.0500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.0500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.1000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.1000000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  0.0000000E+00  1.1500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
  5.0000000E+01  1.1500000E+02  3.5333333E-01  4.5000000E-01  1.5900000E-01
